,variable,Créditos Atrasados / Créditos Directos,Créditos Directos / Personal ( S/. Miles ),Créditos Refinanciados y Reestructurados / Créditos Directos,Depósitos / Número de Oficinas ( S/. Miles ),Gastos de Administración Anualizado / Activo Productivo Promedio ,Gastos de Operación / Margen Financiero Total,Ingresos Financieros / Ingresos Totales,Ingresos Financieros Anualizados / Activo Productivo Promedio ,Pasivo Total / Capital Social y Reservas ( N° de veces ),Provisiones / Créditos Atrasados ,Ratio de Capital Global,Ratio de Liquidez M.E. (Promedio de saldos del mes),Ratio de Liquidez M.N. (Promedio de saldos del mes),Utilidad Anualizada / Activo Promedio,Utilidad Anualizada / Patrimonio Promedio,Periodo,mes
49,Mitsui.Auto.Finance,9.29,3762,0,0,7.92,45.22,87.14,17.84,3.91,80.05,19.66,33,14.79,3.08,13.54,2014,Abril
50,Proempresa,5.24,446,1.06,1420.79,13.5,72.31,99.2,25.83,5.91,127.2,16.5,300.22,19.66,1.13,6.93,2014,Abril
51,Financiera.Nueva.Visión.,8.25,570,1.15,0,14.89,103.58,99.94,27.59,5.92,140.33,14.7,128.56,10.83,-3.37,-22.82,2014,Abril
52,Total Empresas Financieras,5.68,623,1.18,6300.44,13.09,60.81,94.59,26.43,6.87,147.42,17.65,72.27,30.23,1.6,10.37,2014,Abril
53,CrediScotia,7.53,970,2.2,22176.87,12.74,50.38,88.99,26.98,8.12,162.49,17.28,93.12,23.52,1.97,13.55,2014,Mayo
54,TFC,4.73,916,3.5,14656.97,12.01,109.36,92.75,19.13,4.64,108.96,18.8,41.61,31.34,-1.13,-7.1,2014,Mayo
55,Edyficar,3.99,599,0.41,8910.83,9.19,58.33,98.95,21.98,11.45,164.61,15.97,71.53,41.26,3.01,23.41,2014,Mayo
56,Compartamos Financiera,6.47,467,0.51,3204.52,13.79,61.82,100,30.08,7.8,121.46,14.84,32.7,22.48,2.34,19.11,2014,Mayo
57,Confianza,3.45,582,0.96,5878.2,13.46,76.4,94.75,24.39,6.39,139.63,17.26,62.18,24.75,0.13,0.85,2014,Mayo
58,Financiera Efectiva,4.17,272,0,946.44,25.92,58.37,96.95,54.28,3.85,194.4,19.32,0,37.77,4.94,20.96,2014,Mayo
59,Financiera Universal,5.95,423,2.62,7467.27,15.13,80.98,85.64,26.72,4.4,133.4,17.05,81.12,25.22,-0.27,-1.59,2014,Mayo
60,Financiera Uno,6.52,327,3.15,1794.92,44.89,73.56,92.58,54.02,2.09,158.05,29.81,46.8,9.18,-7.74,-19.85,2014,Mayo
61,America Financiera,0,0,0,0,12.1,339.21,89.06,3.7,0.26,0,128.52,0,0,-5.45,-6.82,2014,Mayo
62,Mitsui.Auto.Finance,9.34,3773,0,0,7.99,45.51,86.91,17.99,3.84,81.92,19.29,31.22,25.28,3.05,13.43,2014,Mayo
63,Proempresa,5.15,433,1.08,1695.49,13.22,72.03,99.23,25.55,6.17,127.7,16.54,464.72,23.72,1.19,7.4,2014,Mayo
64,Financiera.Nueva.Visión.,9.13,604,1.15,303.32,15.1,112.68,99.95,26.99,6.02,135.22,13.15,266.51,10.7,-4.81,-33.8,2014,Mayo
65,Total Empresas Financieras,5.7,625,1.23,6601.84,12.95,60.85,94.17,26.21,6.89,147.52,17.54,73.18,29.41,1.59,10.14,2014,Mayo
66,CrediScotia,7.54,967,2.17,23372.5,12.71,50.19,89.09,26.92,8.47,164.5,17.12,101.17,23.28,1.98,13.64,2014,Junio
67,TFC,4.71,873,3.37,15648.94,11.58,104.7,93.77,18.51,4.76,110.91,17.69,53.17,30.34,-0.17,-1.03,2014,Junio
68,Edyficar,3.98,593,0.43,8758.35,9.15,58.55,98.95,21.71,11.6,165.6,15.75,62.55,40.02,2.87,20.93,2014,Junio
69,Compartamos Financiera,6.59,461,0.56,3297.44,13.61,59.8,100,30.28,7.81,120.18,14.76,36.05,21.88,2.45,20.13,2014,Junio
70,Confianza,3.64,579,0.93,5902.09,13.47,77.18,92.01,24.22,6.45,137.83,17.32,69.79,26.12,0.24,1.52,2014,Junio
71,Financiera Efectiva,4.09,275,0,994.91,25.57,58.08,97.19,54.2,3.93,194.09,19.57,0,43.26,4.94,21.19,2014,Junio
72,Financiera Universal,6.23,420,2.86,7417.18,15.12,80.4,82.77,26.81,4.38,132.3,17.45,95.47,25.62,0.06,0.37,2014,Junio
73,Financiera Uno,6.45,346,3.26,2369.31,42.73,72.07,92.77,53.69,1.8,164.56,27.45,47.14,8.36,-6.77,-18.12,2014,Junio
74,America Financiera,0,0,0,0,11.08,314.07,91.22,3.23,0.26,0,129.11,0,0,-5.32,-6.67,2014,Junio
75,Mitsui.Auto.Finance,9.71,3739,0,0,8.03,45.87,86.88,18.22,3.78,78.8,19.26,27.25,23.07,3.23,14.26,2014,Junio
76,Proempresa,5.49,433,1.15,1838.21,12.95,72.05,99.19,25.22,5.99,123.24,16.19,501.69,28.43,1.17,7.39,2014,Junio
77,Financiera.Nueva.Visión.,10.21,593,1.21,1243.42,15.38,115.13,99.96,26.62,5.66,132.5,12.01,591.54,13.98,-5.78,-42.12,2014,Junio
78,Total Empresas Financieras,5.78,623,1.24,6910.3,12.87,60.58,93.84,26.11,6.85,147.73,17.31,71.96,29.02,1.62,10.27,2014,Junio
79,CrediScotia,7.52,973,2.15,22375.54,12.74,50.52,90.23,26.91,8.52,164.68,16.8,82.48,26.29,2.02,14.02,2014,Julio
80,TFC,5.77,844,2.06,13843.56,11.11,101.59,92.92,17.81,5.16,72.79,18.41,43.38,40.49,-0.07,-0.42,2014,Julio
81,Edyficar,4.08,602,0.44,8501.54,9.13,58.06,98.96,21.69,6.28,166.08,15.24,65.64,38.1,2.72,18.35,2014,Julio
82,Compartamos Financiera,6.75,438,0.63,3391.98,13.69,59.52,100,30.52,7.72,120.7,14.86,93.37,20.28,2.39,19.64,2014,Julio
83,Confianza,3.75,580,0.94,5952.88,13.4,77.09,92.25,24.03,6.55,136.54,17.41,47.16,27.03,0.22,1.41,2014,Julio
84,Financiera Efectiva,4.15,278,0,1025.17,24.98,57.56,96.98,54.21,4.01,193.99,19.28,0,50.49,4.95,21.4,2014,Julio
85,Financiera Universal,7.44,410,4.39,7414.72,15.16,80.36,81.46,26.94,4.32,122.5,17.91,91.66,28.13,0.14,0.8,2014,Julio
86,Financiera Uno,6.36,372,3.25,0,40.42,70.88,92.98,53.1,1.98,165.91,25.71,64.8,11.2,-5.63,-15.89,2014,Julio
87,America Financiera,0,0,0,0,10.25,330.36,100,3.35,0.28,0,128.99,0,0,-5.73,-7.22,2014,Julio
88,Mitsui.Auto.Finance,10.04,3782,0,0,8.2,45.99,87.05,18.26,3.8,78.9,19.12,28.41,31.22,3.04,13.41,2014,Julio
89,Proempresa,5.71,429,1.2,1787.38,12.67,71.69,99.22,25.02,6.09,124.52,16.17,398.05,28.99,1.14,7.29,2014,Julio
90,Financiera.Nueva.Visión.,11.55,589,1.23,1624.8,14.98,112.75,98.32,26.02,5.72,123.53,11.8,1888.64,23.83,-5.49,-39.99,2014,Julio
91,Total Empresas Financieras,5.92,625,1.24,6581.69,12.81,60.35,94.17,26.09,5.93,145.81,17.07,68.88,29.96,1.62,10.07,2014,Julio
92,CrediScotia,7.52,983,2.13,22032.5,12.72,50.49,90.35,26.91,8.43,165.2,16.47,102.6,22.11,2.18,15.15,2014,Agosto
93,TFC,5.78,867,1.92,15493.24,10.66,100.47,92.7,16.95,5.88,62.08,18.05,44.49,39.36,0.02,0.15,2014,Agosto
94,Edyficar,4.2,608,0.44,8503.96,9.11,58.2,98.99,21.81,6.39,165.3,18.38,74.68,32.84,2.47,15.69,2014,Agosto
95,Compartamos Financiera,6.96,428,0.7,3443.22,13.8,59.39,98.84,30.83,7.87,122.17,14.2,56.47,23.47,2.57,21.07,2014,Agosto
96,Confianza,3.81,576,1,5876.68,13.39,77.66,91.53,23.9,6.17,137.27,16.73,58.2,26.32,0.34,2.19,2014,Agosto
97,Financiera Efectiva,4.34,275,0,1046.9,24.27,56.56,97.15,53.93,4.1,190.09,19.32,0,53.97,4.95,21.55,2014,Agosto
98,Financiera Universal,8.53,415,4.25,7436.61,15.1,80.67,79.02,27.05,4.31,118.77,18.19,87.54,30,0.25,1.42,2014,Agosto
99,Financiera Uno,6.42,372,3.26,0,37.85,69.52,92.85,52.47,2.07,165.07,23.88,75.83,13.15,-4.28,-12.7,2014,Agosto
100,America Financiera,0,0,0,0,9.45,344.68,100,3.06,0.26,0,125.43,0,0,-6.62,-8.36,2014,Agosto
101,Mitsui.Auto.Finance,10.28,4001,0,0,8.33,45.99,87.01,18.39,3.77,78.81,18.73,24.87,24.99,3.07,13.49,2014,Agosto
102,Proempresa,5.48,435,1.21,1448.89,12.54,71.55,99.23,24.97,5.93,128.39,15.56,501.33,27.3,1.17,7.51,2014,Agosto
103,Financiera.Nueva.Visión.,11.73,555,1.47,1488.44,14.77,109.6,95.6,25.56,5.62,126.68,17.38,1063.6,28.86,-5.47,-39.74,2014,Agosto
104,Total Empresas Financieras,6.02,628,1.24,6560.51,12.72,60.16,93.93,26.11,5.94,145.47,17.63,79.49,27.09,1.67,10.2,2014,Agosto
