"","variable","Créditos Atrasados / Créditos Directos","Créditos Refinanciados y Reestructurados / Créditos Directos","Gastos de Operación / Margen Financiero Total","Periodo","mes","mes2"
"154","Total Empresas Financieras",4.23,1.41,56.36,"2010","Septiembre","2010-09-30"
"155","CrediScotia",3.52,2.11,51.94,"2010","Octubre","2010-10-31"
"156","TFC",6.04,0.95,54.04,"2010","Octubre","2010-10-31"
"157","Edyficar",4.36,0.53,56.04,"2010","Octubre","2010-10-31"
"158","Compartamos Financiera",6.79,0.13,45.36,"2010","Octubre","2010-10-31"
"159","Confianza",5.88,1.13,65.03,"2010","Octubre","2010-10-31"
"160","Financiera Efectiva",3.86,0,63.69,"2010","Octubre","2010-10-31"
"161","Financiera Universal",1.34,0,603.75,"2010","Octubre","2010-10-31"
"162","Financiera Uno",5,0,276.16,"2010","Octubre","2010-10-31"
"163","America Financiera",1.29,1.58,76.13,"2010","Octubre","2010-10-31"
"164","Total Empresas Financieras",4.07,1.37,56.39,"2010","Octubre","2010-10-31"
"165","CrediScotia",3.44,1.96,52.11,"2010","Noviembre","2010-11-30"
"166","TFC",5.79,2.19,53.52,"2010","Noviembre","2010-11-30"
"167","Edyficar",3.95,0.5,56.13,"2010","Noviembre","2010-11-30"
"168","Compartamos Financiera",6.98,0.14,45.68,"2010","Noviembre","2010-11-30"
"169","Confianza",5.69,1.1,66,"2010","Noviembre","2010-11-30"
"170","Financiera Efectiva",3.73,0,63.62,"2010","Noviembre","2010-11-30"
"171","Financiera Universal",2,0,508.94,"2010","Noviembre","2010-11-30"
"172","Financiera Uno",6.93,0,241.29,"2010","Noviembre","2010-11-30"
"173","America Financiera",1.27,1.48,76.04,"2010","Noviembre","2010-11-30"
"174","Total Empresas Financieras",3.95,1.36,56.56,"2010","Noviembre","2010-11-30"
"175","CrediScotia",3.52,1.78,51.94,"2010","Diciembre","2010-12-31"
"176","TFC",5.81,2.05,53.51,"2010","Diciembre","2010-12-31"
"177","Edyficar",4.01,0.48,56.12,"2010","Diciembre","2010-12-31"
"178","Compartamos Financiera",3.9,0.15,45.72,"2010","Diciembre","2010-12-31"
