"","variable","Periodo","mes","Adeudos / Pasivo Total (%)","Cartera de Alto Riesgo / Créditos Directos (%)","Créditos Atrasados / Créditos Directos (%)","Créditos Atrasados M.E. / Créditos Directos M.E. (%)","Créditos Atrasados M.N. / Créditos Directos M.N. (%)","Créditos Directos / Empleados (Miles S/.)","Créditos Directos / Número de Oficinas (Miles S/.)","Depósitos/ Créditos Directos (%)","Gastos de Administración Anualizados/ Créditos Directos e Indirectos Promedio (%)","Gastos de Operación Anualizados / Margen Financiero Total Anualizado(%)","Ingresos Financieros Anualizados / Activo Productivo Promedio (%)","Pasivo Total / Capital Social y Reservas ( Nº de veces )","Posición Global en M.E. / Patrimonio Efectivo ( %)","Provisiones / Créditos Atrasados (%)","Ratio de Capital Global","Ratio de Liquidez en M.E. (%) (promedio del mes)","Ratio de Liquidez en M.N. (%) (promedio del mes)","Utilidad Neta Anualizada sobre Activo Promedio (%)","Ratio de Capital Global"
"83","CMAC.Piura","2014","Junio",1.75,10.11,7.04,6.1,7.14,875.87,17798.68,113.71,11,66.03,18.51,8.46,-0.54,117.39,13.74,87.39,37.08,1.37,12.51
"84","CMAC.Sullana","2014","Junio",5.52,9.33,6.58,5.9,6.61,902.59,18776.38,100.34,10.07,58.18,20.41,7.37,-1.12,131.66,13.54,107.34,28.94,1.37,10.79
"85","CMAC.Tacna","2014","Junio",7.83,9.23,8.08,4.48,8.68,1001.85,24211.45,87.86,8.19,60.25,18.46,7.12,-0.39,115.25,15.56,43.79,25.08,0.75,5.58
"86","CMAC Trujillo","2014","Junio",4.83,9.06,6.74,8.99,6.68,845.63,21431.81,110.57,10.99,63.43,17.8,5.59,0.01,147.2,18.24,77.28,49.29,1.45,8.7
"87","Total.CMAC","2014","Junio",4.34,8.49,6.67,5.46,6.76,910.81,20543.72,102,9.57,60.65,18.98,7.23,-0.41,133.23,15.07,71.51,35.87,1.72,13.15
"88","CMCP.Lima","2014","Junio",12.56,12.76,9.85,5.99,10.46,1011.26,12207.38,107.07,11.77,83.44,15.88,6.45,2.47,88.71,12.99,67.61,70.44,-0.69,-5.58
"89","Total.CM","2014","Junio",4.73,8.66,6.8,5.5,6.9,914.46,19994.93,102.2,9.67,61.57,18.82,7.19,-0.29,130.64,14.97,71.32,37.27,1.59,12.17
"90","(all)","2014","Junio",4.79,10.19,8.03,7.71,8.11,872.04,19030.46,103.41,10.23,65.29,19.01,7.22,-0.25,127.64,14.86,82.3,40.03,1.23,9.25
"91","CMAC.Arequipa","2014","Julio",5.07,8.47,7.19,4.01,7.52,969.52,24492.66,99.1,8.45,55.29,19.98,8.57,-0.77,143.82,14.42,46.69,30.62,2.09,18.01
"92","CMAC.Cusco","2014","Julio",0.8,6.11,4.9,6.98,4.75,1097.47,22237.35,97.02,7.48,56.33,17.31,5.71,-0.74,129.08,14.91,61.15,22.56,2.75,16.43
